# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
183799565,20.7224,-75.3538,15.23,G011113
257738322,33.4638,-83.9393,15.49,G011113
263076776,17.0807,-80.5235,13.02,G011113;G011203
304054122,25.4555,-76.3142,15.79,G011113
350136907,52.3186,-78.8436,13.72,G011113
50385872,34.106,-76.7309,15.03,G011113
220555122,44.089,-63.4778,16.08,G011113
220576880,47.8433,-62.2541,16.2,G011113;G011294;G011203
220578510,48.1088,-64.7367,13.35,G011113;G011294
232065830,26.5514,-70.3388,15.26,G011113;G011203
234345946,38.7317,-69.0598,15.78,G011113
24705587,25.7498,-67.3137,13.36,G011113;G011294
260002014,44.0818,-70.3703,14.08,G011113
31674330,47.6297,-68.6015,11.59,G011113
141976247,95.7195,-75.6776,15.66,G011113
261400271,94.5563,-80.197,14.99,G011113
269855781,70.9436,-78.864,13.66,G011113;G011294
33840009,64.9072,-73.0623,14.92,G011113;G011203
391923441,106.9794,-74.641,15.2,G011113
279510595,105.58,-58.8366,14.66,G011113;G011294
300013123,107.2148,-67.1092,15.32,G011113
300159301,108.8191,-70.4182,14.38,G011113;G011294
300970893,118.284,-67.7921,13.3,G011113;G011294
306826966,121.7283,-66.3061,13.71,G011113
348841203,98.8744,-59.3335,15.96,G011113
382303117,83.2783,-56.0647,16.01,G011113

# Sector 002 targets observed (96)
12933046,345.5131,-26.5133,15.46,G011113;G011288
13024355,347.2182,-27.1747,15.76,G011113;G011288
154618337,345.555,-31.9332,14.91,G011113
155314270,346.9173,-34.4648,14.94,G011113
218970233,348.8958,-35.4144,15.68,G011113;G011294;G011288
229068386,350.7352,-30.3426,15.32,G011113
304389446,352.9581,-28.8814,14.22,G011113;G011294;G011281;G011288
246821917,4.6853,-25.6122,15.9,G011113;G011288
246847488,5.3781,-26.4365,13.1,G011113
254295634,354.8302,-27.4115,14.68,G011113
326526887,354.3705,-22.6259,14.79,G011113;G011288
33986466,357.8415,-24.1393,15.53,G011113;G011288
34035509,358.2657,-24.5343,14.76,G011113;G011294;G011288
419064451,4.0517,-23.835,15.52,G011113;G011294
77041172,358.5026,-33.2774,14.33,G011113
188619138,349.8988,-17.0912,14.13,G011113;G011294
402339032,353.9031,-16.2962,13.52,G011113;G011294
434105262,354.3764,-13.6426,15.12,G011113;G011294
434109154,354.779,-12.4114,14.03,G011113
439397980,0.8831,-16.7329,14.65,G011113;G011294;G011288
441055500,359.3893,-14.9025,15.64,G011113;G011294;G011288
441465538,353.2556,-21.8935,15.36,G011113
49733483,352.5037,-11.4382,14.7,G011113
5796523,348.8776,-14.6686,15.38,G011113;G011288
66419115,354.7204,-18.4376,15.3,G011113;G011294;G011288
9143444,351.3282,-17.8661,15.09,G011113;G011294;G011288
111754737,344.0538,-13.3273,15.82,G011113;G011288
204328293,347.1716,-21.7503,13.92,G011113;G011294;G011288
399571137,339.0885,-19.8738,15.09,G011113
69813909,337.4106,-20.8371,13.93,G011113;G011294;G011288
201255204,1.4124,-56.7448,14.29,G011113
281541729,6.667,-55.4146,15.06,G011113;G011294
281594636,8.4006,-55.1444,15.83,G011113
281780275,12.79,-54.1891,15.15,G011113;G011294
369642765,12.5166,-52.1375,14.57,G011113;G011294
80290123,7.697,-47.2098,15.27,G011113;G011294
101916028,13.0016,-47.1197,16.61,G011113
102048288,16.7254,-46.1479,15.25,G011113
183597477,18.5134,-37.8449,15.16,G011113;G011294;G011288
262548040,21.017,-42.678,14.37,G011113;G_PROPER_MOTION_281_-499
251857373,8.7077,-31.4979,15.8,G011113;G011294;G011288
63726058,5.305,-33.7078,14.95,G011113;G011294
66409818,13.3227,-32.999,13.64,G011113;G011294
70743424,0.668,-34.2316,14.53,G011113
144376819,356.5522,-47.2419,15.55,G011113
144456191,359.7405,-44.9538,14.93,G011113;G011294
160081043,352.0532,-39.9233,12.91,G011113
175295953,347.256,-39.4986,15.35,G011113;G011288
183231662,357.1106,-39.3964,15.63,G011113;G011294;G011288
183984307,358.5785,-36.5688,15.45,G011113;G011294
224270521,354.4122,-41.1764,15.36,G011113;G011294
321979116,0.5491,-43.1689,12.87,G011113;G011294
402027326,353.5092,-47.2407,13.8,G011113;G011294
158595145,22.0592,-53.003,14.66,G011113;G011294
166671357,34.3733,-50.6688,14.66,G011113
201776077,33.4387,-57.497,14.37,G011113
229156509,28.6496,-49.9165,16.22,G011113;G011294
230980387,23.9957,-54.7312,15.62,G011113
231005809,25.1329,-55.7277,15.03,G011113
206502140,16.0528,-57.7135,15.9,G011113;G011294
206541995,18.0881,-56.241,15.04,G011113;G011203;G011294
231914436,7.4863,-63.4161,15.83,G011113;G011294
234490974,9.093,-59.9243,14.31,G011113
237866154,19.0835,-60.2683,14.91,G011113;G011294
237909146,21.6391,-65.9431,15.39,G011113
271503343,7.7274,-63.3623,14.69,G011113;G011203
232065830,26.5514,-70.3388,15.26,G011113;G011203
234345946,38.7317,-69.0598,15.78,G011113
24705587,25.7498,-67.3137,13.36,G011113;G011294
260002014,44.0818,-70.3703,14.08,G011113
31674330,47.6297,-68.6015,11.59,G011113
50385872,34.106,-76.7309,15.03,G011113
52315037,22.9928,-68.5207,15.24,G011113
200779640,50.5618,-53.7546,15.31,G011113;G011294
207213457,49.3947,-57.5988,15.59,G011113
220555122,44.089,-63.4778,16.08,G011113
220576880,47.8433,-62.2541,16.2,G011113;G011294;G011203
220578510,48.1088,-64.7367,13.35,G011113;G011294
198079199,64.1204,-59.3031,3.33,G011155;G011113;G011183;G011179;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
220399066,69.2667,-57.4721,14.95,G011113
220404108,69.8141,-57.3168,14.91,G011113
381976323,77.4291,-59.4935,14.11,G011113;G011203
382303117,83.2783,-56.0647,16.01,G011113
141976247,95.7195,-75.6776,15.66,G011113
269855781,70.9436,-78.864,13.66,G011113;G011294
